Rank,playerId,playerImageId,Player,playerFullName,pos,teamImageId,teamName,teamShortName,teamAbbrevName,newestTeamId,newestTeam,newestTeamColor,newestLeagueId,newestLeague,optaPersonId,firstName,lastName,Position,GM,Min,Age,GS,MinIncET,KMHSPEED,OutPossHighDecels,OutPossHighAccels,OutPossDistSprint,OutPossDistHSRun,DistanceRunOutPoss,InPossHighDecels,InPossHighAccels,InPossDistSprint,InPossDistHSRun,DistanceRunInPoss,TopSpeed,ScndHalfHighDecels,ScndHalfHighAccels,ScndHalfDistSprint,ScndHalfDistHSRun,DistanceRunScndHalf,FirstHalfHighDecels,FirstHalfHighAccels,FirstHalfDistSprint,FirstHalfDistHSRun,DistanceRunFirstHalf
1,bl2fdhcnnja0uvg4oeal696tx,164523,Bruno Ramires,Bruno Ramires,Left Centre Back,3183,Hapoel Haifa,H Haifa,HHA,7cd60mgte8skipavum0o6ecyo,Hapoel Haifa,,2xg0qvif1rh7du6wmk2eleku3,Ligat Ha'al,200920,Bruno Edgar,Silva Almeida,Left Centre Back,1,90,31,1,102,25.24,4,3,32.5,167.3,5252.6,1,3,19.3,124.2,5090.4,7.01,0,3,28.3,148.1,5389.0,5,3,23.5,143.6,4965.8
1,57xh6w1j0446ks4cpem2co5at,180777,M. Stevanovic,Miladin Stevanovic,Right Centre Back,16514,Maccabi Bnei Raina,Bnei Raina,RNA,bvgvmydv5tuf6lxvwvuwbrfje,Maccabi Bnei Raina,,2xg0qvif1rh7du6wmk2eleku3,Ligat Ha'al,199286,Miladin,Stevanovic,Right Centre Back,1,90,29,1,103,26.96,9,5,92.9,325.5,5716.0,7,1,11.7,125.6,4469.2,7.49,10,3,60.3,171.2,4665.9,6,3,44.3,280.6,5535.3
1,6au98nxmxt6hd6xahen6v0v6d,223504,A. Ugarriza,Adrián Ugarriza,Centre Forward,2788,Ironi Kiryat Shmona,Kiryat Shmona,IKS,e2ryr6aied781hzc7hx9yntk8,Ironi Kiryat Shmona,#D3D3D3,2xg0qvif1rh7du6wmk2eleku3,Ligat Ha'al,196262,Adrián,Ugarriza,Centre Forward,1,81,28,1,81,27.30,6,4,40.4,156.8,4739.4,1,6,84.9,290.8,3706.0,7.58,4,4,32.4,184.1,3583.0,3,7,92.9,264.2,4875.5
1,6fhhm1c5zl8hr65oux0da9vbp,201859,Hélder Lopes,Hélder Lopes,Left Back,3012,Hapoel Be'er Sheva,H Be'er Sheva,HBS,9ppjmek1r3tb9yddebneaxj7i,Hapoel Be'er Sheva,#ff0000,2xg0qvif1rh7du6wmk2eleku3,Ligat Ha'al,124907,Hélder Filipe,Oliveira Lopes,Left Back,1,63,36,1,66,27.79,10,7,103.4,333.7,2989.2,9,2,44.2,368.5,5188.6,7.72,2,1,17.5,137.9,1908.2,17,8,130.4,565.3,6278.4
1,3gxpefndkobgr2j35yidlhvx1,223392,Daniel,Daniel,Goalkeeper,2788,Ironi Kiryat Shmona,Kiryat Shmona,IKS,e2ryr6aied781hzc7hx9yntk8,Ironi Kiryat Shmona,#D3D3D3,2xg0qvif1rh7du6wmk2eleku3,Ligat Ha'al,196852,Daniel,Miller Tenenbaum,Goalkeeper,1,90,30,1,95,16.60,0,0,0.0,0.0,2417.9,0,1,0.0,0.0,2046.7,4.61,0,0,0.0,0.0,2260.4,0,1,0.0,0.0,2210.2
1,uxb0rai8lghcq59m2r6bkzpx,165143,K. Saief,Kenny Saief,Left Back,491,Maccabi Haifa,M Haifa,MHA,bglyqy0awtu6lzvpab390rir2,Maccabi Haifa,#008000,2xg0qvif1rh7du6wmk2eleku3,Ligat Ha'al,94255,Kenny,Saief,Left Back,1,61,31,1,64,30.20,4,4,113.9,204.4,2560.7,6,3,49.2,201.9,4485.7,8.39,2,0,3.2,39.8,1549.7,9,7,160.2,366.8,5506.5
1,ebnm8xj9pggemio5qay9pcc0l,142971,A. Limbombe,Anthony Limbombe,Left Winger,2788,Ironi Kiryat Shmona,Kiryat Shmona,IKS,e2ryr6aied781hzc7hx9yntk8,Ironi Kiryat Shmona,#D3D3D3,2xg0qvif1rh7du6wmk2eleku3,Ligat Ha'al,88931,Anthony,Limbombe,Left Winger,1,69,31,1,69,29.33,8,9,63.6,319.3,4221.3,10,8,179.1,315.5,3456.5,8.15,6,5,64.9,209.6,2776.8,12,13,177.8,425.4,4911.7
1,9zcqenv7ss9zzulbtxbv09yvp,111216,N. Bitton,Nir Bitton,Left Centre Back,1942,Ashdod,Ashdod,ASH,3xbrfd77vj0zi8vbrnwqz54z,Ashdod,,2xg0qvif1rh7du6wmk2eleku3,Ligat Ha'al,74438,Nir,Bitton,Left Centre Back,1,90,33,1,103,26.70,6,12,78.2,195.5,4019.4,6,0,14.7,93.1,5328.2,7.42,5,2,73.4,153.7,4731.8,8,10,19.9,135.1,4630.6
1,diyyjxujtwg2wlp1na81cuhn9,181445,O. Atzili,Omer Atzili,Right Attacking Midfielder,469,Beitar Jerusalem,Beitar,BJM,cx0rucvdzkg1yd00vrueu2u7,Beitar Jerusalem,,2xg0qvif1rh7du6wmk2eleku3,Ligat Ha'al,182459,Omer,Atzili,Right Attacking Midfielder,1,86,32,1,89,29.08,5,8,79.3,276.5,6569.6,2,6,57.7,221.7,3067.8,8.08,2,6,21.4,191.3,4320.1,5,9,115.5,307.7,5330.5
1,crdmczlhynym2z1adqlbt853p,286651,F. Mayembo,Fernand Mayembo,Right Centre Back,245,Hapoel Tel Aviv,Hapoel TA,HTA,dv6fn97f0kx4x988y86gkmwb8,Hapoel Tel Aviv,#ff0000,2xg0qvif1rh7du6wmk2eleku3,Ligat Ha'al,235708,Fernand,Mayembo,Right Centre Back,1,90,29,1,103,31.14,8,5,152.4,249.2,4137.5,4,7,33.0,202.9,5397.2,8.65,7,7,125.7,188.7,4746.8,5,6,60.1,263.9,4803.7
