Rank,teamId,teamImageId,teamFullName,Team,teamAbbrevName,teamShortName,newestTeamColor,leagueId,leagueName,GM,xA,ExpG/Shot,ExpG,ground_duels,dribblesuccessful,Starta3endbox /,Starta2endbox/,passcompletedtobox,endboxusingconrer,starta2enda3,Starta1endbox/,Starta2enda3/,Starta1enda3/,Starta1enda2/,SeqStartAtt3rd,SeqStartMid3rd,SeqStartA1,Aerial%,ground%,CrossOpen,passfromassisttogolden,passAssistZone,SOG_from_penalty_area,SOG_from_box,shotfromgolden,shotfrombox,SOG,ShtIncBl,xG,Touches,TouchOpBox,%DropFwdUPr,poswonopponenthalf,AvgSeqTime,ppda40,optaTeamId
1,9ppjmek1r3tb9yddebneaxj7i,3012,Hapoel Be'er Sheva,Hapoel Be'er Sheva,HBS,H Be'er Sheva,#ff0000,2xg0qvif1rh7du6wmk2eleku3,Ligat Ha'al (Israel),1,1.00,0.147,2.79,66.00,3,15,8,15,0,36,1,36,8,16,44,66,37,32.1%,49.28%,10,7,8,5,5,7,8,9,19,2.79,645,26,73.3%,17,5.0,2.39,3012
2,bglyqy0awtu6lzvpab390rir2,491,Maccabi Haifa,Maccabi Haifa,MHA,M Haifa,#008000,2xg0qvif1rh7du6wmk2eleku3,Ligat Ha'al (Israel),1,1.51,0.165,3.14,50.00,8,12,3,12,0,23,4,23,8,14,34,41,39,55.6%,46.15%,14,7,9,5,5,8,12,8,19,3.14,593,28,77.0%,16,6.8,2.64,491
3,ehmuu62daxvzhvn2wfoe9t86y,15112,Hapoel Jerusalem,Hapoel Jerusalem,HJM,H Jerusalem,,2xg0qvif1rh7du6wmk2eleku3,Ligat Ha'al (Israel),1,1.67,0.130,1.30,66.00,12,11,2,11,0,23,5,23,14,16,26,43,51,52.2%,41.56%,10,5,5,3,4,5,7,5,10,1.30,572,27,67.2%,6,7.0,4.78,15112
4,cx0rucvdzkg1yd00vrueu2u7,469,Beitar Jerusalem,Beitar Jerusalem,BJM,Beitar,,2xg0qvif1rh7du6wmk2eleku3,Ligat Ha'al (Israel),1,1.10,0.125,2.76,82.00,8,7,7,7,0,33,5,33,9,15,50,68,32,44.4%,45.78%,8,4,8,3,6,6,10,10,22,2.76,938,40,82.0%,18,5.1,1.52,469
4,8k3kbfzfqi2senhosaaimvgjm,18909,Ironi Tiberias,Ironi Tiberias,ITB,I Tiberias,,2xg0qvif1rh7du6wmk2eleku3,Ligat Ha'al (Israel),1,1.12,0.070,1.55,75.00,5,7,2,7,0,16,2,16,6,11,44,56,49,36.8%,50.67%,9,3,6,2,3,9,13,4,22,1.55,594,30,61.6%,14,8.8,3.77,18909
6,dv6fn97f0kx4x988y86gkmwb8,245,Hapoel Tel Aviv,Hapoel Tel Aviv,HTA,Hapoel TA,#ff0000,2xg0qvif1rh7du6wmk2eleku3,Ligat Ha'al (Israel),1,0.71,0.148,1.63,76.00,13,5,1,5,0,15,3,15,15,16,25,45,60,70.0%,53.85%,9,3,3,2,3,5,7,3,11,1.63,490,18,64.8%,11,8.8,4.07,245
6,3xbrfd77vj0zi8vbrnwqz54z,1942,Ashdod,Ashdod,ASH,Ashdod,,2xg0qvif1rh7du6wmk2eleku3,Ligat Ha'al (Israel),1,0.43,0.103,1.65,66.00,2,5,2,5,0,18,2,18,7,13,26,56,55,47.8%,49.28%,9,5,6,3,4,8,11,5,16,1.65,496,19,59.2%,4,11.5,5.56,1942
8,6j9xcfzg0gp8j84yaoidmspaw,2787,Maccabi Netanya,Maccabi Netanya,MNT,M Netanya,,2xg0qvif1rh7du6wmk2eleku3,Ligat Ha'al (Israel),1,1.10,0.177,1.59,66.00,3,4,4,4,0,19,1,19,6,18,16,59,70,67.9%,47.76%,2,5,5,3,5,5,7,6,9,1.59,477,17,47.3%,9,8.9,5.96,2787
9,7cd60mgte8skipavum0o6ecyo,3183,Hapoel Haifa,Hapoel Haifa,HHA,H Haifa,,2xg0qvif1rh7du6wmk2eleku3,Ligat Ha'al (Israel),1,0.82,0.063,0.63,75.00,7,3,0,3,0,16,2,16,13,16,34,48,44,63.2%,49.33%,15,2,2,1,1,3,3,2,10,0.63,560,9,75.6%,10,8.0,4.03,3183
10,e2ryr6aied781hzc7hx9yntk8,2788,Ironi Kiryat Shmona,Ironi Kiryat Shmona,IKS,Kiryat Shmona,#D3D3D3,2xg0qvif1rh7du6wmk2eleku3,Ligat Ha'al (Israel),1,1.03,0.215,1.72,76.00,5,1,1,1,0,18,0,18,4,10,30,56,50,30.0%,44.74%,9,2,3,1,2,4,6,3,8,1.72,585,16,55.4%,8,7.5,3.50,2788
10,54hbubv11m3ygghs51uperow9,2789,Bnei Sakhnin,Bnei Sakhnin,BNS,Sakhnin,,2xg0qvif1rh7du6wmk2eleku3,Ligat Ha'al (Israel),1,0.19,0.159,0.96,82.00,13,1,0,1,0,8,0,8,4,24,13,46,73,55.6%,51.76%,4,1,1,2,3,2,3,4,6,0.96,441,4,41.8%,6,13.5,19.69,2789
10,bvgvmydv5tuf6lxvwvuwbrfje,16514,Maccabi Bnei Raina,Maccabi Bnei Raina,RNA,Bnei Raina,,2xg0qvif1rh7du6wmk2eleku3,Ligat Ha'al (Israel),1,0.11,0.036,0.22,50.00,5,1,1,1,0,7,1,7,5,14,20,40,52,44.4%,46.43%,9,0,1,0,1,0,2,2,6,0.22,407,12,53.7%,7,12.0,6.86,16514
